#  | 4FGL Name          | SPT Name              | SPT RA    | SPT Dec    | S95     | S150    | S220    | z       | RASS Name         | SUMSS Name            | AllWISE Name
   |                    | *SPT-S J052531-4557.9 | 81.381195 | -45.966545 | 34.7   | 17.7   | 11.4   | 1.47900 | -                 | SUMSS J052517-460023  | -
123| 4FGL J0034.0-4116  | *SPT-S J003404-4116.4 | 8.5193243 | -41.273582 | 99.4   | 77.8   | 54.7   | -       | -                 | *SUMSS J003404-411619 | J003404.42-411619.4
124| *4FGL J2043.9-4802 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
125| 4FGL J2159.8-4751  | *SPT-S J215958-4751.9 | 329.99509 | -47.866444 | 57.5   | 43.3   | 39.0   | -       | -                 | *SUMSS J215959-475157 | J215959.11-475159.4
126| 4FGL J2343.7-5624  | *SPT-S J234327-5626.2 | 355.86276 | -56.437298 | 143.5  | 104.8  | 76.9   | -       | -                 | *SUMSS J234327-562624 | J234326.66-562618.3
127| *4FGL J0617.6-4028 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
128| 4FGL J0200.3-4109  | -                     | -         | -          | -       | -       | -       | -       | *J020021.0-410936 | -                     | -
129| 4FGL J0116.2-6153  | *SPT-S J011619-6153.7 | 19.079826 | -61.895164 | 13.2   | 16.0   | 18.1   | -       | -                 | *SUMSS J011619-615343 | J011619.62-615343.4
130| 4FGL J2056.4-4904  | *SPT-S J205614-4904.1 | 314.05847 | -49.069958 | 16.6   | 12.5   | 16.5   | -       | J205733.4-490507  | *SUMSS J205613-490415 | J205714.30-490125.1
   |                    | *SPT-S J205714-4901.3 | 314.30881 | -49.022266 | 41.6   | 29.6   | 14.3   | -       | -                 | *SUMSS J205714-490126 | J205613.59-490414.1
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J205559-490800  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J205735-490059  | -
131| 4FGL J0533.1-6119  | *SPT-S J053304-6115.9 | 83.268761 | -61.265026 | 4.0    | 6.1    | 3.5    | -       | -                 | SUMSS J053443-612146  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J053304-611608 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J053242-611352  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J053339-611143  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J053423-611314  | -
132| 4FGL J0647.7-4418  | *FSPT-S J064744-4419.7| 101.937   | -44.3295   | -       | 4.43    | -       | -       | *J064804.4-441905 | SUMSS J064744-441946  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J064750-441959  | -
133| 4FGL J2143.0-5501  | *SPT-S J214121-5504.4 | 325.34058 | -55.074818 | 58.6   | 39.3   | 24.8   | -       | J214509.7-544256  | *SUMSS J214048-545557 | J214121.45-550429.9
   |                    | *SPT-S J214050-5455.7 | 325.94476 | -55.310398 | 1.9    | 3.3    | 13.8   | -       | J214620.8-550901 | SUMSS J214732-551330  | J214621.84-550921.4
   |                    | *SPT-S J214621-5509.3 | 325.21042 | -54.929707 | 9.8    | 7.9    | 4.3    | -       | -                 | SUMSS J214310-550548  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214058-551721  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J214121-550429 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214327-550204  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214048-550948  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214223-550039  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214227-545548  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214745-545913  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214352-550125  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214232-550650  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214358-550357  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J214621-550920 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214233-551044  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214210-551845  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214348-544247  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214458-545903  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214421-550030  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214515-552522  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214029-543917  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214127-545824  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214439-551920  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J213850-551350  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214515-544859  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214108-550309  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214051-544655  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214121-543214  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214234-552720  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214108-550759  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214051-543441  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214328-543335  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214019-545640  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214340-543828  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214743-545942  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214531-544816  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214531-551447  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214606-544312  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J213914-551250  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214716-551656  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J213912-545233  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214054-543604  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J213902-545927  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214039-544942  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214353-543424  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J213955-543727  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J214452-544127  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J213949-545049  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J213925-551518  | -
134| 4FGL J2319.1-4207  | *SPT-S J231905-4206.7 | 349.77298 | -42.112476 | 115.8  | 92.4   | 81.1   | 0.05454 | *J231906.5-420653 | *SUMSS J231907-420640 | J231905.91-420648.4
135| *4FGL J2237.6-5126 | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J223806-513109  | -
136| *4FGL J2117.1-5307 | *SPT-S J211704-5306.8 | 319.26874 | -53.113342 | 10.1   | 3.3    | 2.1    | -       | -                 | *SUMSS J211702-530659 | J211704.40-530642.0
   |                    | *SPT-S J211701-5306.7 | 319.25476 | -53.112583 | 6.3    | 7.0    | 4.5    | -       | -                 | -                     | -
137| 4FGL J0231.2-5754  | *SPT-S J023108-5755.1 | 37.786694 | -57.918915 | 65.4   | 52.6   | 50.7   | 0.03199 | -                 | *SUMSS J023109-575506 | J023109.28-575506.0
138| *4FGL J2100.0-4356 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
139| 4FGL J2017.5-4113  | *SPT-S J201729-4115.3 | 304.37491 | -41.255180 | 16.4   | 16.4   | 17.4   | -       | *J201731.2-411452 | *SUMSS J201729-411516 | J201729.99-411515.4
140| 4FGL J0622.4-6433  | *SPT-S J062307-6436.4 | 95.782051 | -64.607170 | 479.9  | 357.7  | 267.8  | 0.12889 | *J062307.7-643618 | *SUMSS J062307-643622 | J062307.70-643620.6
   |                    | *SPT-S J062336-6434.6 | 95.900078 | -64.577019 | 20.5   | 14.3   | 15.3   | 0.04637 | -                 | *SUMSS J062333-643435 | J062335.95-643441.4
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J062248-642937  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J062321-642759  | -
141| 4FGL J2001.9-5737  | *SPT-S J200204-5736.6 | 300.51862 | -57.611336 | 6.2    | 6.2    | 3.6    | -       | *J200205.7-573644 | *SUMSS J200204-573646 | J200204.19-573645.4
142| 4FGL J0014.1-5022  | *FSPT-S J001411-5022.5| 3.54675   | -50.3758   | -       | 1.85    | -       | -       | *J001411.8-502243 | SUMSS J001411-502232  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | *J001420.3-502324 | -                     | -
143| *4FGL J2159.6-4620 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
144| 4FGL J0156.8-4744  | *SPT-S J015645-4744.2 | 29.191624 | -47.736767 | 10.5   | 7.5    | 4.6    | -       | *J015645.4-474412 | *SUMSS J015646-474418 | J015646.03-474417.3
145| 4FGL J2313.9-4501  | *SPT-S J231408-4455.8 | 348.53708 | -44.930458 | 119.0  | 78.0   | 61.1   | 2.88400 | -                 | *SUMSS J231409-445549 | J231409.35-445549.0
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J231408-445604 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J231357-450148  | -
146| 4FGL J0251.5-5958  | *SPT-S J025125-6000.1 | 42.856819 | -60.002392 | 204.0  | 156.6  | 126.0  | 1.37300 | -                 | *SUMSS J025126-600005 | J025126.25-600006.2
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J025139-595804  | -
147| *4FGL J2326.9-4130 | *FSPT-S J232719-4134.5| 351.830   | -41.5761   | -       | 3.09    | -       | -       | -                 | SUMSS J232719-413433  | -
148| 4FGL J0626.4-4259  | *FSPT-S J062636-4258.1| 96.6520   | -42.9687   | -       | 3.75    | -       | -       | *J062635.9-425810 | SUMSS J062636-425807  | -
149| *4FGL J0657.4-4658 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
150| 4FGL J0445.1-6012  | *SPT-S J044500-6014.9 | 71.252724 | -60.249226 | 22.2   | 16.5   | 8.5    | -       | -                 | *SUMSS J044501-601500 | J044501.53-601459.7
151| *4FGL J2234.2-4156 | *SPT-S J223415-4156.9 | 338.56345 | -41.948624 | 12.6   | 9.7    | 4.9    | -       | -                 | *SUMSS J223414-415651 | J223415.29-415651.7
152| 4FGL J2024.8-6459  | *SPT-S J202445-6458.6 | 306.19156 | -64.978020 | 121.7  | 95.2   | 73.4   | -       | -                 | *SUMSS J202445-645832 | J202446.31-645835.4
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J202514-650012  | -
153| 4FGL J2115.6-4938  | *SPT-S J211545-4938.8 | 318.93903 | -49.647785 | 6.1    | 6.9    | 4.5    | -       | -                 | *SUMSS J211544-493906 | -
154| 4FGL J0646.4-5455  | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | J064628.85-545114.0
155| 4FGL J0503.1-6045  | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J050248-604525  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J050305-604928  | -
156| *4FGL J2041.1-6138 | *SPT-S J204111-6139.8 | 310.29849 | -61.664185 | 22.3   | 16.2   | 9.3    | -       | -                 | *SUMSS J204112-613949 | J204112.05-613949.3
157| *4FGL J0328.4-4736 | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J032805-473720  | -
158| *4FGL J0651.9-4330 | *FSPT-S J065300-4332.6| 103.250   | -43.5446   | -       | 1.96    | -       | -       | J065215.8-431925  | SUMSS J065109-433556  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J065300-433240  | -
159| *4FGL J0048.6-6347 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
160| 4FGL J2046.8-4258  | *SPT-S J204644-4257.2 | 311.68408 | -42.954975 | 7.9    | 7.7    | 6.1    | -       | -                 | *SUMSS J204643-425711 | J204644.01-425713.2
   |                    | *SPT-S J204643-4256.7 | 311.68329 | -42.946617 | 10.7   | 3.6    | 3.0    | -       | -                 | -                     | -
161| *4FGL J0442.0-5432 | *SPT-S J044230-5431.7 | 70.625000 | -54.529156 | 66.2   | 52.3   | 43.4   | -       | -                 | *SUMSS J044231-543145 | -
162| 4FGL J0416.2-4353  | *SPT-S J041613-4350.9 | 64.055077 | -43.849205 | 11.5   | 9.8    | 7.2    | 0.04917 | -                 | *SUMSS J041613-435057 | J041613.26-435059.5
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J041605-435516  | -
163| 4FGL J2040.1-4621  | *FSPT-S J204006-4620.3| 310.027   | -46.3388   | -       | 4.57    | -       | -       | *J204006.5-462034 | SUMSS J204006-462019  | -
164| 4FGL J0437.4-6155  | *SPT-S J043718-6157.0 | 69.327812 | -61.950592 | 10.7   | 5.9    | 9.0    | -       | *J043722.3-615704 | *SUMSS J043719-615654 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J043731-615846  | -
165| 4FGL J0026.6-4600  | *SPT-S J002636-4601.1 | 6.6504340 | -46.018520 | 14.0   | 8.9    | 6.7    | -       | *J002636.3-460101 | *SUMSS J002635-460109 | J002635.63-460109.9
166| 4FGL J0009.8-4317  | *SPT-S J000949-4316.7 | 2.4558253 | -43.278950 | 20.9   | 18.2   | 11.8   | -       | *J000950.7-431653 | *SUMSS J000949-431654 | J000949.77-431650.2
167| *4FGL J0017.1-4605 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
168| 4FGL J2105.2-5143  | *SPT-S J210524-5145.7 | 316.35156 | -51.763039 | 33.7   | 26.6   | 21.0   | -       | J210451.0-514336  | *SUMSS J210524-514551 | J210524.85-514549.7
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J210542-514502  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J210529-514721  | -
169| *4FGL J0225.5-5530 | *FSPT-S J022532-5528.6| 36.3862   | -55.4769   | -       | 4.01    | -       | -       | -                 | SUMSS J022532-552836  | -
170| 4FGL J0654.6-4952  | *SPT-S J065519-4951.9 | 103.82986 | -49.866295 | 44.5   | 38.5   | 29.1   | -       | -                 | *SUMSS J065518-495205 | J065518.42-495205.9
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J065355-495825  | -
171| 4FGL J0019.2-5640  | *SPT-S J001926-5641.7 | 4.8610253 | -56.696087 | 93.4   | 79.4   | 61.9   | -       | -                 | *SUMSS J001926-564142 | J001926.57-564142.4
172| 4FGL J2353.1-4806  | *SPT-S J235311-4806.0 | 358.29807 | -48.101170 | 73.6   | 62.0   | 64.8   | -       | -                 | *SUMSS J235310-480558 | J235311.11-480604.5
173| *4FGL J0550.5-4356 | *FSPT-S J055026-4356.9| 87.6093   | -43.9496   | -       | 4.81    | -       | -       | -                 | SUMSS J055026-435658  | -
174| 4FGL J2209.8-5028  | *SPT-S J221040-5026.9 | 332.66852 | -50.449894 | 107.3  | 98.5   | 88.8   | -       | J220941.5-503316  | *SUMSS J221016-503106 | J221040.81-502652.5
   |                    | *SPT-S J221015-5031.1 | 332.56619 | -50.518791 | 35.6   | 25.4   | 16.5   | -       | -                 | SUMSS J220910-503003  | J221016.08-503105.0
175| 4FGL J0357.6-4625  | *SPT-S J035728-4625.6 | 59.367905 | -46.427334 | 83.5   | 69.1   | 59.1   | 0.09996 | -                 | *SUMSS J035728-462540 | J035728.71-462543.1
176| 4FGL J0533.3-5549  | *SPT-S J053324-5549.5 | 83.353912 | -55.825615 | 61.0   | 57.8   | 51.8   | -       | -                 | *SUMSS J053323-554934 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J053354-554912  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J053419-555333  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J053328-560106  | -
177| *4FGL J0343.3-6303 | *SPT-S J034325-6303.3 | 55.856136 | -63.055836 | 9.0    | 8.4    | 4.8    | -       | -                 | -                     | -
178| *4FGL J0131.7-5346 | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J013130-534702  | -
179| *4FGL J0140.5-4730 | *SPT-S J014046-4725.7 | 25.194143 | -47.429104 | 2.0    | 5.9    | 4.2    | -       | -                 | -                     | J014046.55-472550.4
180| *4FGL J0009.1-5012 | *SPT-S J000835-5009.6 | 2.1497924 | -50.161186 | 14.1   | 13.7   | 14.1   | -       | -                 | *SUMSS J000836-500939 | J000836.16-500939.5
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J000959-501127  | -
181| 4FGL J2249.7-5944  | *SPT-S J224938-5944.2 | 342.40991 | -59.738331 | 12.1   | 6.2    | 9.0    | -       | -                 | *SUMSS J224938-594421 | J224938.48-594423.0
182| *4FGL J0624.7-4903 | *FSPT-S J062358-4904.1| 95.9950   | -49.0695   | -       | 3.57    | -       | -       | -                 | SUMSS J062402-485903  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J062358-490410  | -
183| 4FGL J0110.0-4019  | *SPT-S J010956-4020.7 | 17.483570 | -40.345695 | 17.3   | 12.3   | 6.0    | 0.31300 | *J010956.5-402047 | *SUMSS J010956-402054 | -
184| *4FGL J2029.5-4237 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
185| 4FGL J0035.0-5728  | *SPT-S J003504-5726.2 | 8.7668228 | -57.437843 | 19.4   | 17.5   | 10.0   | -       | -                 | *SUMSS J003503-572611 | J003503.45-572608.0
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J003510-573548  | -
186| 4FGL J0225.6-4502  | *SPT-S J022544-4503.2 | 36.433971 | -45.054893 | 400.8  | 355.8  | 274.7  | -       | *J022542.1-450307 | *SUMSS J022543-450318 | J022543.52-450316.4
187| 4FGL J2107.6-4148  | *SPT-S J210723-4145.5 | 316.84668 | -41.758663 | 28.5   | 23.8   | 32.2   | -       | -                 | *SUMSS J210723-414530 | J210723.17-414529.8
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J210804-415225  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J210807-414557  | -
188| 4FGL J0102.6-5639  | *SPT-S J010303-5639.3 | 15.764310 | -56.655033 | 10.9   | 5.9    | 5.7    | -       | -                 | *SUMSS J010302-563924 | -
189| 4FGL J0049.6-4500  | -                     | -         | -          | -       | -       | -       | -       | *J004929.9-445836 | SUMSS J004918-450120  | J004916.62-445711.2
190| 4FGL J0358.1-5954  | *SPT-S J035814-5952.3 | 59.560055 | -59.873264 | 26.6   | 21.4   | 22.4   | -       | -                 | *SUMSS J035813-595235 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J035801-595808  | -
191| 4FGL J0056.6-5317  | *SPT-S J005621-5318.6 | 14.090127 | -53.311600 | 25.5   | 20.3   | 25.3   | -       | -                 | *SUMSS J005621-531846 | J005621.31-531847.3
192| 4FGL J0440.3-4333  | *SPT-S J044017-4333.0 | 70.070854 | -43.550388 | 267.9  | 161.5  | 107.4  | 2.86300 | *J044019.6-433314 | *SUMSS J044017-433309 | J044017.17-433308.5
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J044011-433153  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J044035-432245  | -
193| 4FGL J0623.9-5259  | *SPT-S J062337-5258.3 | 95.906807 | -52.971973 | 6.8    | 7.9    | 4.1    | -       | J062338.8-525750  | *SUMSS J062337-525756 | J062337.40-525821.6
   |                    | *SPT-S J062337-5257.8 | 95.907120 | -52.963638 | 9.5    | 3.3    | 5.7    | -       | -                 | SUMSS J062339-530146  | J062337.88-525755.9
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J062413-530223  | -
194| *4FGL J0414.7-4300 | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J041457-430326  | -
195| 4FGL J0604.5-4851  | *SPT-S J060433-4849.6 | 91.138245 | -48.827209 | 206.5  | 155.4  | 118.3  | -       | *J060432.7-485007 | *SUMSS J060433-484947 | J060433.09-484947.5
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J060430-485144  | -
196| 4FGL J0647.0-5138  | *SPT-S J064709-5135.8 | 101.79097 | -51.596748 | 4.5    | 9.4    | 5.9    | -       | *J064710.1-513546 | *SUMSS J064709-513549 | J064710.05-513547.7
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J064654-513652  | -
197| *4FGL J0004.4-4001 | *SPT-S J000433-4000.5 | 1.1390235 | -40.009537 | 17.4   | 19.1   | 10.6   | 0.10169 | -                 | *SUMSS J000434-400040 | J000434.23-400035.1
198| *4FGL J0601.4-6057 | -                     | -         | -          | -       | -       | -       | -       | J060043.7-605550  | -                     | -
199| 4FGL J0500.6-4911  | *SPT-S J050037-4912.1 | 75.157974 | -49.203270 | 18.8   | 15.5   | 15.9   | -       | -                 | *SUMSS J050038-491214 | -
200| 4FGL J0658.1-5840  | *SPT-S J065814-5840.3 | 104.56075 | -58.673191 | 158.3  | 123.9  | 97.9   | -       | -                 | *SUMSS J065813-584026 | J065814.45-584028.8
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J065828-584027  | -
201| 4FGL J2357.0-4840  | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J235711-483733  | J235721.03-483818.2
202| *4FGL J2247.7-5857 | *FSPT-S J224745-5854.9| 341.938   | -58.9160   | -       | 4.06    | -       | -       | J224747.3-585444  | SUMSS J224745-585457  | -
203| 4FGL J0127.4-4813  | *SPT-S J012715-4813.4 | 21.813354 | -48.224972 | 150.0  | 127.5  | 115.2  | -       | -                 | *SUMSS J012714-481332 | J012714.80-481331.6
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J012742-481256  | -
204| *4FGL J0025.4-4838 | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J002507-484015  | -
205| 4FGL J2031.2-4121  | *SPT-S J203055-4117.1 | 307.72977 | -41.286194 | 42.7   | 35.9   | 29.2   | -       | -                 | SUMSS J203056-411906  | J203054.89-411702.7
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J203054-411704 | -
206| *4FGL J0438.2-4243 | *SPT-S J043831-4240.0 | 69.631432 | -42.667942 | 7.6    | 5.8    | 5.4    | -       | -                 | *SUMSS J043831-424006 | J043832.00-424006.8
207| 4FGL J2246.7-5207  | *FSPT-S J224642-5206.6| 341.676   | -52.1114   | -       | 4.43    | -       | -       | *J224642.0-520638 | SUMSS J224642-520641  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | *J224654.2-520627 | -                     | -
208| 4FGL J0245.4-5950  | *SPT-S J024452-5947.9 | 41.219921 | -59.799339 | 36.1   | 29.3   | 24.7   | -       | -                 | *SUMSS J024453-594804 | J024453.02-594805.9
209| *4FGL J2151.2-4034 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
210| 4FGL J2240.7-4746  | *SPT-S J224043-4747.3 | 340.17957 | -47.788910 | 12.5   | 10.1   | 7.4    | -       | -                 | *SUMSS J224042-474733 | -
211| 4FGL J0047.1-6203  | SPT-S J004750-6206.7  | 11.960005 | -62.112614 | 6.0    | 5.5    | 5.3    | -       | -                 | SUMSS J004725-620738  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J004653-620305  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J004815-620552  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J004717-620833  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J004759-620249  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J004725-621010  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J004803-615521  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J004559-620310  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J004819-620738  | -
212| 4FGL J0622.7-4141  | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J062242-414357  | -
213| 4FGL J0119.4-5354  | *SPT-S J011950-5357.2 | 19.961374 | -53.954586 | 244.3  | 189.4  | 147.3  | -       | *J011906.5-535128 | *SUMSS J011950-535717 | J011950.44-535717.8
214| 4FGL J2332.1-4118  | *SPT-S J233218-4118.6 | 353.07822 | -41.310574 | 157.3  | 113.7  | 84.3   | 0.67100 | -                 | *SUMSS J233219-411836 | J233219.07-411837.7
215| 4FGL J0541.1-4854  | -                     | -         | -          | -       | -       | -       | -       | *J054106.1-485408 | -                     | -
216| *4FGL J0553.9-5048 | *FSPT-S J055359-5051.7| 88.4986   | -50.8629   | -       | 3.42    | -       | -       | -                 | SUMSS J055410-504559  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J055359-505146  | -
217| *4FGL J0650.2-5144 | *SPT-S J065009-5144.5 | 102.54099 | -51.742050 | 12.5   | 7.7    | 8.5    | -       | -                 | *SUMSS J065010-514421 | -
218| 4FGL J0206.8-5744  | *SPT-S J020641-5749.7 | 31.673260 | -57.829369 | 11.0   | 6.4    | 4.3    | -       | -                 | SUMSS J020706-574800  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J020640-574948 | -
219| 4FGL J0420.3-6016  | -                     | -         | -          | -       | -       | -       | -       | *J042012.8-601446 | SUMSS J042020-601904  | -
220| 4FGL J0159.3-4523  | *SPT-S J015906-4515.6 | 29.777704 | -45.261078 | 90.1   | 42.2   | 27.3   | -       | J015914.9-452001  | *SUMSS J015906-451539 | J015906.69-451538.1
221| 4FGL J0550.3-5733  | *SPT-S J055009-5732.4 | 87.538773 | -57.540363 | 555.3  | 542.9  | 497.1  | 2.00100 | *J055010.0-573218 | *SUMSS J055009-573223 | J055009.57-573224.3
222| *4FGL J2355.2-5247 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
223| 4FGL J0414.8-5338  | *FSPT-S J041458-5339.7| 63.7423   | -53.6620   | -       | 3.97    | -       | -       | *J041458.6-533947 | SUMSS J041458-533943  | -
224| 4FGL J0406.0-5407  | *SPT-S J040608-5404.7 | 61.536617 | -54.079865 | 11.2   | 8.6    | 10.8   | -       | -                 | *SUMSS J040608-540445 | J040608.66-540449.8
225| *4FGL J2321.9-4842 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | J232215.92-483616.2
