#  | 4FGL Name          | SPT Name              | SPT RA    | SPT Dec    | S95     | S150    | S220    | z       | RASS Name         | SUMSS Name            | AllWISE Name
30 | 4FGL J0236.8-6136  | *SPT-S J023652-6136.1 | 39.218769 | -61.601936 | 359.6  | 313.8  | 273.4  | 0.46500 | *J023653.4-613620 | *SUMSS J023653-613616 | J023653.27-613615.3
31 | 4FGL J0433.6-6030  | *SPT-S J043333-6030.0 | 68.388000 | -60.500866 | 313.9  | 266.9  | 222.2  | -       | *J043333.5-603012 | *SUMSS J043333-603014 | -
32 | 4FGL J2324.7-4041  | *SPT-S J232444-4040.8 | 351.18491 | -40.680691 | 42.8   | 35.0   | 36.0   | 0.17359 | *J232444.9-404053 | *SUMSS J232444-404043 | J232444.67-404049.4
33 | 4FGL J2325.4-4800  | *SPT-S J232527-4800.2 | 351.36389 | -48.004650 | 222.0  | 188.8  | 160.5  | 0.22100 | *J232527.5-480024 | *SUMSS J232526-480018 | J232526.87-480017.2
34 | 4FGL J0303.6-6211  | *SPT-S J030350-6211.4 | 45.961548 | -62.190815 | 1125.6 | 847.4  | 670.3  | 1.35100 | *J030351.0-621127 | *SUMSS J030350-621125 | J030350.63-621125.5
35 | 4FGL J2235.3-4836  | *SPT-S J223513-4835.9 | 338.80453 | -48.599216 | 689.2  | 534.3  | 420.7  | 0.50581 | *J223512.8-483550 | *SUMSS J223513-483558 | J223513.24-483558.8
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J223518-483530 | -
36 | 4FGL J0507.7-6104  | *SPT-S J050754-6104.6 | 76.976692 | -61.078003 | 328.2  | 249.5  | 190.5  | 1.08900 | -                 | *SUMSS J050754-610443 | J050754.68-610443.1
37 | 4FGL J0133.1-5201  | *SPT-S J013305-5200.1 | 23.271059 | -52.001778 | 292.0  | 204.5  | 149.8  | 0.02000 | *J013308.2-520014 | *SUMSS J013305-520005 | J013305.76-520003.9
38 | 4FGL J0343.2-6444  | *SPT-S J034320-6442.8 | 55.833981 | -64.713509 | 27.6   | 20.9   | 23.2   | -       | -                 | *SUMSS J034320-644256 | J034320.52-644256.0
39 | 4FGL J0602.8-4019  | *SPT-S J060250-4018.7 | 90.712463 | -40.312592 | 29.2   | 26.3   | 23.5   | -       | *J060251.9-401835 | *SUMSS J060251-401845 | J060251.29-401845.3
40 | 4FGL J0424.9-5331  | *SPT-S J042504-5331.8 | 66.266884 | -53.531349 | 152.1  | 128.1  | 107.6  | -       | *J042506.2-533150 | *SUMSS J042504-533158 | J042504.27-533158.2
41 | 4FGL J2007.9-4432  | *SPT-S J200755-4434.6 | 301.98087 | -44.578156 | 75.4   | 61.3   | 47.7   | 0.24000 | J200756.2-443450  | *SUMSS J200755-443444 | J200755.20-443444.2
42 | 4FGL J0515.6-4556  | *SPT-S J051544-4556.6 | 78.933449 | -45.944759 | 432.3  | 354.6  | 299.5  | 0.19400 | *J051544.7-455647 | *SUMSS J051544-455644 | -
43 | 4FGL J2221.5-5225  | *SPT-S J222129-5225.5 | 335.37402 | -52.426075 | 25.1   | 16.8   | 15.8   | -       | *J222129.6-522530 | *SUMSS J222129-522525 | J222129.31-522527.7
44 | 4FGL J0438.9-4521  | *SPT-S J043900-4522.3 | 69.750488 | -45.372231 | 348.8  | 278.3  | 223.4  | -       | -                 | *SUMSS J043900-452223 | J043900.85-452222.5
45 | 4FGL J2336.6-4115  | *SPT-S J233633-4115.3 | 354.14020 | -41.256218 | 467.1  | 362.1  | 295.7  | 1.40600 | -                 | SUMSS J233639-411528  | J233633.99-411521.9
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J233633-411522 | -
46 | 4FGL J2022.3-4513  | *SPT-S J202226-4513.4 | 305.61215 | -45.224731 | 199.9  | 184.9  | 171.5  | -       | *J202229.3-451331 | *SUMSS J202226-451331 | J202226.40-451329.5
47 | 4FGL J2207.5-5346  | *SPT-S J220743-5346.5 | 331.93094 | -53.776051 | 782.3  | 559.6  | 424.8  | 1.20600 | *J220742.2-534632 | *SUMSS J220743-534634 | J220743.73-534633.7
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J220735-534603  | -
48 | *4FGL J2347.9-5106 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
49 | 4FGL J0647.7-6058  | *SPT-S J064740-6058.0 | 101.91716 | -60.967972 | 108.5  | 86.6   | 67.1   | -       | -                 | *SUMSS J064740-605804 | J064740.86-605805.1
50 | 4FGL J0331.3-6156  | *SPT-S J033118-6155.3 | 52.827072 | -61.922436 | 31.0   | 21.2   | 13.9   | -       | *J033118.2-615532 | *SUMSS J033118-615527 | J033118.49-615528.7
51 | 4FGL J2321.7-6438  | *SPT-S J232142-6438.1 | 350.42841 | -64.636238 | 48.7   | 39.2   | 32.3   | -       | -                 | *SUMSS J232142-643807 | J232142.23-643807.0
52 | 4FGL J2357.8-5311  | *SPT-S J235753-5311.2 | 359.47214 | -53.187664 | 1218.2 | 971.8  | 771.0  | 1.00600 | -                 | *SUMSS J235753-531115 | J235753.25-531113.5
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J235749-531045 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J235744-531037  | -
53 | 4FGL J0608.9-5456  | *SPT-S J060848-5456.6 | 92.203781 | -54.944839 | 217.6  | 175.2  | 136.1  | -       | *J060849.7-545640 | *SUMSS J060848-545645 | J060849.07-545642.7
54 | 4FGL J0021.9-5140  | *SPT-S J002159-5140.4 | 5.4982934 | -51.673782 | 21.2   | 17.5   | 13.0   | -       | *J002159.2-514028 | *SUMSS J002159-514025 | J002200.010-514024.3
55 | 4FGL J0540.8-5415  | *SPT-S J054045-5418.3 | 85.190697 | -54.306660 | 582.0  | 346.6  | 246.3  | 1.18500 | *J054046.7-541725 | *SUMSS J054045-541817 | J054045.86-541821.9
56 | 4FGL J0156.9-5301  | *SPT-S J015657-5302.0 | 29.240412 | -53.034412 | 12.6   | 9.8    | 10.7   | -       | *J015658.6-530208 | *SUMSS J015657-530157 | J015658.01-530159.9
57 | 4FGL J0506.9-5435  | *SPT-S J050658-5435.0 | 76.745064 | -54.584629 | 7.8    | 6.4    | 10.0   | -       | *J050656.8-543456 | *SUMSS J050657-543458 | J050657.81-543503.7
58 | 4FGL J0244.6-5819  | *SPT-S J024439-5819.8 | 41.164795 | -58.331337 | 14.8   | 12.9   | 10.6   | 0.26452 | *J024439.8-581953 | *SUMSS J024440-581954 | -
59 | 4FGL J0628.8-6250  | *SPT-S J062857-6248.8 | 97.238731 | -62.813965 | 103.7  | 75.8   | 50.1   | -       | -                 | *SUMSS J062857-624844 | J062857.50-624844.7
60 | 4FGL J0004.4-4737  | *SPT-S J000435-4736.3 | 1.1479795 | -47.605900 | 524.2  | 433.9  | 351.4  | 0.88000 | *J000434.5-473638 | *SUMSS J000435-473620 | J000435.66-473619.6
61 | 4FGL J0314.3-5103  | *SPT-S J031425-5104.4 | 48.606266 | -51.074375 | 103.4  | 86.4   | 75.5   | -       | -                 | *SUMSS J031425-510431 | J031425.71-510431.5
62 | 4FGL J2251.5-4928  | *SPT-S J225129-4929.1 | 342.87106 | -49.485508 | 14.3   | 11.2   | 6.2    | -       | -                 | *SUMSS J225128-492912 | J225128.71-492910.8
63 | 4FGL J0450.3-4419  | *SPT-S J045001-4418.2 | 72.507812 | -44.303844 | 116.6  | 86.9   | 71.2   | -       | -                 | *SUMSS J045002-441821 | J045002.12-441821.0
64 | 4FGL J2322.8-4916  | *SPT-S J232254-4916.6 | 350.72519 | -49.277981 | 11.9   | 8.4    | 5.5    | -       | *J232256.7-491658 | *SUMSS J232254-491629 | -
65 | 4FGL J0316.2-6437  | *SPT-S J031613-6437.5 | 49.058235 | -64.625374 | 11.0   | 9.2    | 11.5   | -       | -                 | *SUMSS J031614-643732 | J031614.34-643731.4
66 | 4FGL J0231.2-4745  | *SPT-S J023112-4746.1 | 37.802975 | -47.768433 | 244.5  | 182.2  | 129.1  | 0.76500 | -                 | *SUMSS J023111-474612 | J023111.80-474611.5
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J023143-474337  | -
67 | 4FGL J0451.8-4651  | *SPT-S J045153-4653.2 | 72.972710 | -46.887936 | 76.9   | 74.0   | 63.6   | -       | *J045152.5-465302 | *SUMSS J045153-465319 | J045153.34-465319.9
68 | 4FGL J0413.1-5332  | *SPT-S J041313-5331.9 | 63.307743 | -53.533062 | 22.8   | 17.6   | 18.0   | 1.02400 | -                 | *SUMSS J041313-533200 | J041313.43-533200.4
   |                    | *SPT-S J041303-5333.8 | 63.264580 | -53.564232 | 5.4    | 7.8    | 8.7    | -       | -                 | *SUMSS J041304-533357 | -
69 | 4FGL J2132.0-5418  | *SPT-S J213208-5420.4 | 323.03714 | -54.340523 | 130.6  | 98.4   | 80.7   | -       | -                 | *SUMSS J213208-542037 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J213144-541633  | -
70 | 4FGL J0032.3-5522  | *SPT-S J003210-5522.5 | 8.0458021 | -55.375320 | 41.3   | 25.4   | 23.2   | -       | -                 | *SUMSS J003210-552228 | J003210.94-552227.9
71 | *4FGL J2240.3-5241 | *SPT-S J224016-5241.3 | 340.06989 | -52.688431 | 30.3   | 18.0   | 12.2   | -       | -                 | *SUMSS J224017-524111 | -
72 | 4FGL J0157.7-4614  | *SPT-S J015751-4614.4 | 29.465006 | -46.240471 | 157.3  | 119.6  | 91.3   | 2.28700 | -                 | *SUMSS J015750-461425 | J015751.12-461423.2
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J015743-461720  | -
73 | 4FGL J2317.4-4533  | *SPT-S J231731-4533.9 | 349.37982 | -45.566265 | 17.3   | 11.4   | 8.3    | -       | *J231733.0-453348 | *SUMSS J231731-453400 | J231730.61-453348.7
74 | 4FGL J0525.6-6013  | *FSPT-S J052542-6013.6| 81.4252   | -60.2283   | -       | 4.32    | -       | -       | *J052542.0-601337 | SUMSS J052542-601341  | -
75 | 4FGL J0050.0-5736  | *SPT-S J004959-5738.4 | 12.497785 | -57.640041 | 648.9  | 449.6  | 323.2  | 1.79700 | *J005001.6-573851 | *SUMSS J004959-573828 | J004959.52-573826.7
76 | 4FGL J0556.2-4352  | *SPT-S J055617-4351.9 | 89.074875 | -43.865685 | 42.8   | 40.5   | 25.7   | -       | -                 | *SUMSS J055618-435146 | -
77 | *4FGL J0059.4-5654 | *FSPT-S J005926-5657.1| 14.8603   | -56.9524   | -       | 14.53   | -       | -       | -                 | SUMSS J005926-565708  | -
78 | 4FGL J0608.1-6028  | *SPT-S J060755-6031.8 | 91.981407 | -60.530518 | 225.3  | 193.3  | 124.1  | -       | J060754.4-603145  | *SUMSS J060754-603150 | J060755.08-603151.9
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J060750-603200 | -
79 | 4FGL J0335.1-4459  | *SPT-S J033514-4459.5 | 53.808384 | -44.992546 | 13.6   | 17.6   | 11.4   | -       | *J033514.5-445929 | *SUMSS J033513-445939 | J033513.88-445943.8
80 | 4FGL J0514.6-4408  | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | J051422.09-440301.8
81 | 4FGL J2250.4-4206  | *SPT-S J225022-4206.2 | 342.59198 | -42.103371 | 62.5   | 55.9   | 52.6   | 0.11900 | -                 | *SUMSS J225022-420613 | J225022.22-420613.4
82 | 4FGL J0325.5-5635  | *SPT-S J032522-5635.6 | 51.344456 | -56.594090 | 29.8   | 27.3   | 18.8   | 0.06023 | *J032521.8-563543 | SUMSS J032531-563502  | J032523.53-563544.6
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J032523-563545 | -
83 | 4FGL J2315.6-5018  | *SPT-S J231545-5018.6 | 348.93875 | -50.310604 | 721.4  | 424.2  | 332.3  | 0.80800 | -                 | *SUMSS J231544-501840 | J231544.34-501839.7
84 | 4FGL J0310.6-5017  | *FSPT-S J031034-5016.5| 47.6441   | -50.2757   | -       | 4.81    | -       | -       | *J031036.0-501615 | SUMSS J031034-501632  | -
85 | *4FGL J2133.1-6432 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
86 | 4FGL J0357.0-4955  | *SPT-S J035658-4955.7 | 59.245335 | -49.929775 | 101.6  | 84.9   | 70.4   | 0.64300 | *J035658.8-495549 | *SUMSS J035700-495550 | -
87 | 4FGL J0519.6-4544  | *SPT-S J051948-4546.6 | 79.952698 | -45.777897 | 1289.1 | 1163.6 | 951.1  | 0.03506 | *J051949.5-454644 | SUMSS J051938-454603  | J051949.72-454643.8
   |                    | *SPT-S J051927-4545.8 | 79.864647 | -45.764038 | 599.0  | 356.7  | 240.1  | -       | -                 | *SUMSS J051926-454558 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J051934-454536  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J051951-454657 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J051959-454541  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J051957-454620  | -
88 | 4FGL J0433.7-5725  | *SPT-S J043343-5726.4 | 68.432976 | -57.440441 | 3.5    | 5.9    | 6.2    | -       | -                 | *SUMSS J043344-572613 | -
89 | 4FGL J2034.8-4200  | *FSPT-S J203451-4200.4| 308.713   | -42.0069   | -       | 8.12    | -       | -       | -                 | SUMSS J203451-420024  | -
90 | 4FGL J2231.0-4416  | *SPT-S J223056-4416.4 | 337.73334 | -44.273701 | 455.5  | 359.9  | 281.5  | 1.32600 | -                 | *SUMSS J223056-441628 | J223056.45-441629.9
91 | 4FGL J2040.0-5737  | *SPT-S J204000-5735.2 | 310.00204 | -57.586693 | 153.8  | 111.1  | 76.6   | -       | -                 | *SUMSS J204001-573516 | J204001.08-573509.4
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J204001-573454 | -
92 | 4FGL J0537.7-5717  | *SPT-S J053749-5718.3 | 84.456291 | -57.306267 | 14.8   | 15.9   | 20.0   | 1.55000 | *J053749.3-571844 | *SUMSS J053748-571828 | J053748.96-571830.1
93 | 4FGL J0253.2-5441  | *SPT-S J025329-5441.8 | 43.374386 | -54.697033 | 1535.4 | 1121.4 | 845.3  | 0.53900 | *J025328.3-544150 | *SUMSS J025329-544150 | J025329.17-544151.5
   |                    | *SPT-S J025307-5441.1 | 43.281719 | -54.685516 | 0.7    | 2.2    | 2.0    | -       | -                 | *SUMSS J025330-544216 | -
94 | 4FGL J0025.7-4801  | *SPT-S J002545-4803.8 | 6.4404244 | -48.063957 | 155.4  | 129.8  | 96.0   | -       | -                 | *SUMSS J002545-480356 | J002545.82-480355.1
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J002600-480117  | -
95 | 4FGL J2329.3-4733  | *SPT-S J232918-4730.3 | 352.32562 | -47.505028 | 1006.7 | 712.6  | 531.6  | 1.26098 | *J232916.9-473017 | *SUMSS J232917-473019 | J232917.71-473019.1
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J232913-473107  | -
96 | 4FGL J0625.8-5441  | *SPT-S J062552-5438.9 | 96.467224 | -54.648678 | 124.7  | 84.5   | 65.8   | 2.05100 | -                 | *SUMSS J062552-543850 | J062552.22-543850.7
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J062559-544433  | -
97 | *4FGL J0022.0-5921 | *FSPT-S J002127-5919.8| 5.36417   | -59.3307   | -       | 3.94    | -       | -       | -                 | SUMSS J002127-591950  | -
98 | *4FGL J2342.4-4739 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
99 | *4FGL J2056.4-5922 | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J205614-592243  | -
100| *4FGL J2333.1-5527 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
101| 4FGL J0509.9-6417  | *SPT-S J050957-6417.9 | 77.487923 | -64.298584 | 10.2   | 7.2    | 5.9    | -       | *J050957.9-641741 | *SUMSS J050956-641735 | -
102| 4FGL J2358.0-4601  | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | J235802.14-455518.8
103| 4FGL J0303.4-5232  | *SPT-S J030328-5234.5 | 45.867081 | -52.576607 | 41.7   | 35.1   | 30.7   | -       | -                 | SUMSS J030331-523609  | J030328.19-523433.1
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J030327-523432 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J030245-523505  | -
104| 4FGL J0643.2-5356  | *SPT-S J064319-5358.7 | 100.83092 | -53.978962 | 100.1  | 77.6   | 64.1   | -       | -                 | *SUMSS J064320-535846 | J064320.13-535846.1
105| 4FGL J2130.4-4241  | *FSPT-S J213017-4243.3| 322.572   | -42.7220   | -       | 2.54    | -       | -       | -                 | SUMSS J213017-424319  | -
   |                    | *FSPT-S J213017-4244.4| 322.571   | -42.7413   | -       | 1.67    | -       | -       | -                 | SUMSS J213017-424428  | -
106| 4FGL J0051.5-4220  | *SPT-S J005109-4226.5 | 12.790241 | -42.441669 | 328.9  | 247.6  | 190.9  | 1.74900 | J005111.1-422611  | *SUMSS J005109-422634 | J005109.51-422632.9
